text,label
thầy ơi em nộp bài qua hệ thống rồi nha,0
còn 5 phút nữa phải nhanh lên,0
em xin phép bật lại cam ạ,0
phần này hôm bữa có học mà quên mất,0
cái công thức này dài quá,0
bấm máy tính nãy giờ ra kết quả lẻ,0
chữ em hơi xấu thầy thông cảm ạ,0
nãy giờ em nháp trên giấy này,0
thưa cô em có được dùng giấy nháp trắng không,0
làm xong phần một rồi mừng quá,0
có được xài tẩy không ạ,0
cái bảng này nhìn khó hiểu quá,0
thưa thầy hệ thống báo lỗi không nộp được,0
em chụp hình bài làm gửi qua đâu ạ,0
kiểm tra lại từ đầu đến cuối một lần nữa,0
bài thi kết thúc rồi phù,0
ê câu bốn mươi đáp án gì,1
mày tra google lẹ đi,1
chụp cái đề gửi qua zalo cho tao,1
mở chatgpt lên hỏi thử,1
đáp án là c đúng không,1
nhắc tao phần tự luận với,1
đọc nhỏ nhỏ thôi giám thị nghe bây giờ,1
mày làm xong chưa cho tao chép,1
ném cái phao qua đây,1
đứa nào biết làm câu năm không,1
đáp án a hay b m,1
gõ đáp án vào khung chat đi,1
chia đôi màn hình ra mà tra mạng,1
có mang tài liệu vô không,1
mở sách trang mười hai ra chép lẹ,1
từ từ thôi tao chép không kịp,1
che cái cam đi rồi lấy điện thoại ra,1
giả vờ rớt mạng đi để tao tra google,1
câu này photomath quét không ra,1
hỏi con gemini xem giải sao,1
đứa nào gọi điện đọc đáp án đi,1
đáp án là một hai ba bốn đúng không,1
mày nháy mắt là chọn a đúng không,1
câu một a câu hai b nha,1
gửi qua mess đi đừng gửi zalo,1
đọc nguyên đoạn văn đó cho tao,1
thầy không để ý đâu lật tài liệu ra đi,1
mày ngồi nhích qua trái cho tao dòm với,1
bài này áp dụng công thức gì mày,1
đọc lại số liệu câu ba tao nghe,1
tao chụp màn hình gửi group rồi đó,1
share screen tao xem bài mày với,1
câu hình không gian làm sao,1
mày tính ra x bằng mấy,1
kết quả có phải ra âm năm không,1
tao để tài liệu dưới gầm bàn nè,1
có đứa nào nhắc bài tao không,1
có ai rảnh làm dùm tao câu cuối,1
chỉ tao cách bấm máy tính câu này với,1
tao lỡ bấm nộp rồi m gửi đáp án lẹ đi,1
mày ho ba tiếng là chọn c nha,1
gõ tay xuống bàn để ra hiệu đáp án,1
có đeo tai nghe bluetooth không,1
giấu điện thoại trong túi áo kìa,1
mở tài liệu trên ipad đi,1
tao để điện thoại dưới bàn phím,1
mày gõ keyword này lên mạng xem,1
để tao tạo group chat riêng nhắc bài,1
đợi xíu tao đang nhắn tin hỏi người quen,1
câu này thầy giải trên lớp rồi lật tập ra chép,1
tao đang lật sách mà ồn quá,1
mày đọc khẩu hình miệng cho tao,1
tao giơ ngón tay là chọn theo số thứ tự đáp án nha,1
có ai giải được phần code không gửi file tao với,1
copy paste đoạn code đó qua đi,1
đáp án trên mạng giải sai rồi m tra trang khác đi,1
tao mới tìm thấy bài giống y chang trên web,1
gửi link web giải bài đó cho tao,1
mày dùng điện thoại quét qr code thử xem ra không,1
ngó xem con kia đánh đáp án gì,1
tao không biết làm nhắc tao đi,1
chỉ bài tao chầu trà sữa,1
viết đáp án ra tờ nháp rồi quăng qua đây,1
tao đang gọi call với thằng hùng để nó chỉ bài,1
đeo tai nghe tàng hình nè yên tâm,1
dùng đt tra lẹ lên sắp hết giờ rồi,1
câu bảy tám chín mười chọn gì,1
đáp án toàn c với d phải không,1
kéo chuột lên tao xem câu trên xíu,1
zoom to lên tao không thấy rõ đề của mày,1
để tao chụp bằng điện thoại thứ hai,1
mày mở màn hình hai lên tra đi,1
chuyển tab nhanh lên không thầy thấy,1
tao đang xài máy ảo để thi,1
câu mười lăm tra google ra kết quả khác,1
tao dán phao lên viền màn hình rồi,1
chép phạt tao câu này đi tao chép câu kia,1
chia nhau ra mỗi đứa làm một phần,1
đứa nào làm phần đọc hiểu đi tao làm phần nghe,1
chỉ tao dịch câu này tiếng anh với,1
mày tra từ điển đi tao đang vướng,1
dùng gg dịch lẹ đi m,1
để sách dưới đùi không ai thấy đâu,1
tao kẹp phao trong bút nè,1
mặc áo khoác vào để giấu điện thoại,1
vờ rớt mạng để xin thi lại sau,1
để tao tắt wifi rồi vô lại,1
tao mới nhắn cho con lớp trưởng hỏi bài,1
làm bài chung nha có gì cứu tao,1
gõ đáp án vô khung chat zoom mà đừng bấm gửi,1
mày xích ra cho tao coi,1
quay màn hình lại gửi tao nha,1
có tool nào bypass cái phần mềm thi này không,1
tao đang dùng vmware để tra tài liệu,1
alt tab nhanh ra google đi,1
mày biết tắt cái giám sát màn hình không,1
chỉ tao tắt tiếng báo động lúc chuyển tab,1
câu này hỏi gia sư giải cho nhanh,1
tao để điện thoại sau cái cốc nước,1
mày giải ra giấy chụp gửi tao lẹ,1
thưa thầy phần tự luận nộp bằng file pdf hay word ạ,0
cô ơi mạng em vừa bị chập chờn,0
thầy ơi cho em nộp bài sớm được không,0
em thưa cô cam của em bị hỏng đèn,0
âm thanh bên cô bị vang lắm ạ,0
thầy cho em hỏi là thời gian đếm ngược bị lỗi ạ,0
em lỡ tải lại trang có bị mất bài không cô,0
thầy ơi mạng nhà em tự nhiên bị mất kết nối,0
để em đổi sang mạng 4g ạ,0
em xin phép thầy cho em dùng chuột rời,0
em thưa cô em có thể dùng giấy nháp được không,0
giấy nháp của em là giấy trắng hai mặt ạ,0
thưa thầy em giơ giấy nháp cho thầy kiểm tra ạ,0
cô ơi cho em xin phép ra ngoài đi vệ sinh một phút ạ,0
thầy ơi em không thấy nút nộp bài ở đâu,0
hệ thống báo lỗi tải đề thưa cô,0
em nộp bài rồi em có được thoát phòng zoom không ạ,0
thưa thầy điểm hiển thị trên máy là điểm chính thức chưa ạ,0
cô ơi đề bài chỗ này bị lỗi phông chữ,0
thầy ơi hình vẽ trong đề bị mờ em nhìn không rõ,0
có được dùng atlat địa lý không thưa cô,0
em được dùng bảng tuần hoàn hóa học không thầy,0
cô ơi em dùng máy tính casio năm tám mươi được không,0
thưa thầy mic của em bị hỏng em chat được không ạ,0
em xin phép đi lấy cốc nước ạ,0
cô ơi nhà em mất điện giờ em xài đt được không,0
thầy ơi em bị văng ra khỏi hệ thống rồi,0
em vừa load lại trang thầy xem em vô lại chưa ạ,0
chết rồi tính mãi chưa ra kết quả,0
câu này khó quá bỏ qua làm câu khác vậy,0
đề dài thế này đọc sao hết kịp,0
còn mười phút nữa thôi phải đánh lụi thôi,0
cái số này chia kiểu gì cho chẵn nhỉ,0
mình nhớ công thức này học rồi mà ta,0
nãy giờ bấm máy tính toàn báo lỗi cú pháp,0
đọc kỹ lại đề coi chừng bị lừa,0
chọn đại câu c vậy hên xui,0
may quá câu này trúng tủ,0
trời ơi sao tự dưng quên cách giải vậy,0
thưa cô phòng em hơi ồn do bên ngoài đang xây nhà ạ,0
thầy ơi mẹ em vừa mở cửa vào phòng em xin lỗi ạ,0
chó nhà em sủa to quá thầy thông cảm ạ,0
cô ơi em đóng cửa phòng cho đỡ ồn nhé,0
thưa thầy cho em xoay cam ra cửa sổ ạ,0
em thưa cô tai nghe của em hết pin em dùng loa ngoài ạ,0
cô xem giúp em góc quay cam này đủ tiêu chuẩn chưa ạ,0
thầy ơi em quay toàn cảnh không gian phòng rồi ạ,0
bài thi này điểm liệt là mấy vậy thầy,0
có bị trừ điểm nếu đánh sai không thưa cô,0
chữ ký của em trên giấy nháp phải chụp lại đúng không ạ,0
em nộp file zip thay vì rar được không cô,0
thưa thầy giới hạn dung lượng file là bao nhiêu ạ,0
em chụp ba tấm ảnh nén lại nha thầy,0
em ghi mã đề không giống với hệ thống có sao không cô,0
thầy ơi đổi ca thi được không ạ em có lịch học,0
hôm nay thi xong bao lâu có điểm ạ,0
em cảm ơn thầy em nộp xong rồi ạ,0
thưa cô em chào cô em thoát phòng ạ,0
thầy ơi em chưa làm xong mà hệ thống tự nộp rồi,0
em thưa thầy cho em hỏi bài tập phần hai là làm hết đúng không ạ,0
cô cho em xin lại đường link điểm danh với ạ,0
mã xác nhận nộp bài là gì vậy thầy,0
em nhập mật khẩu đề thi bị sai ạ,0
thưa cô mật khẩu giải nén đề là mật khẩu nào ạ,0
máy tính của em báo pin yếu em xin cắm sạc ạ,0
camera của em tự nhiên bị mờ thưa thầy,0
cô đợi em một lát máy em đang cập nhật windows,0
trời đất ơi bài tập dài kinh khủng,0
buồn ngủ quá ráng lên xíu nữa xong rồi,0
câu này chắc chắn là đáp án a rồi,0
đạo hàm của sin là cos đúng rồi,0
nhức đầu quá làm toán kiểu này chắc xỉu,0
sao nãy giờ web nó cứ quay đều quay đều vậy,0
cô ơi màn hình của cô bị đen rồi ạ,0
em thưa thầy bài đọc tiếng anh nó không hiển thị đoạn văn,0
file nghe tiếng anh bị giật lắm cô ơi,0
thầy ơi bật lại audio cho em được không ạ nó vừa bị rè,0
em không nghe thấy tiếng trong video ạ,0
cô ơi cho em hỏi câu mười tám phần bảng biểu ở đâu ạ,0
thầy xem giúp em bài thi số báo danh một hai ba đã nộp chưa ạ,0
thưa cô mã sinh viên của em bị thiếu một số trên giấy báo thi,0
em có cần ghi họ tên vào từng tờ giấy thi không ạ,0
giấy thi của em xé từ vở ô ly ra có được chấp nhận không thầy,0
thưa cô em viết bút chì được không ạ bút mực của em hỏng rồi,0
cho em xin mười lăm giây đi đổi bút ạ,0
em xài phần mềm scan ảnh trên điện thoại để nộp bài nha cô,0
mã qr code bị mờ em không quét để nộp bài được thầy ơi,0
em gõ bằng unikey bị lỗi phông chữ thưa cô,0
trình duyệt chrome của em bị đứng rồi em tắt mở lại nha,0
em dùng trình duyệt firefox thi có bị lỗi gì không thầy,0
thưa cô em nhận được mã đề số bốn ạ,0
em xin nộp bài sớm mười lăm phút ạ,0
có cần nán lại phòng zoom đợi kiểm duyệt bài không thầy,0
cuối cùng cũng làm xong mệt bở hơi tai,0
nháp tốn ba tờ giấy luôn kinh thật,0
phần code này chạy báo lỗi vòng lặp rồi,0
biên dịch không lỗi mà kết quả ra sai là sao,0
em xin phép tắt cam lúc nộp bài để cầm điện thoại chụp ạ,0
cô ơi em chụp bị vướng bóng tay trên giấy thi có sao không ạ,0
em thưa thầy em xong toàn bộ thủ tục rồi ạ em chào thầy,0
ngầu,0
ừm,0
ờ,0
alo,0
test thử,0
alo alo,0
nghe không,0
dạ,0
vâng,0
không ạ,0
dạ có,0
chờ xíu,0
chết rồi,0
trời ơi,0
khó quá,0
dài thế,0
lag quá,0
rớt mạng,0
đơ máy,0
ủa,0
à,0
ok,0
xong rồi,0
nộp nha,0
mỏi lưng,0
buồn ngủ,0
khát nước,0
đau mắt,0
haizz,0
ơ kìa,0
bấm lộn,0
may quá,0
hên ghê,0
xui vậy,0
tiêu rồi,0
hết giờ,0
vội quá,0
từ từ,0
khoan,0
ôi,0
hơ,0
sạc pin,0
hết pin,0
loa rè,0
cam mờ,0
chào thầy,0
vâng ạ,0
thôi xong,0
để xem,0
không biết,0
đáp án,1
chụp lẹ,1
câu mấy,1
a hay b,1
một a hai b,1
nhắc tao,1
cứu tao,1
zalo kìa,1
check mess,1
xem bài,1
đọc đi,1
câu năm c,1
bài hai,1
gửi link,1
mở tab,1
alt tab,1
gg đi,1
search lẹ,1
lật sách,1
giở tài liệu,1
điện thoại đâu,1
chép vô,1
chỉ tao,1
chọn gì,1
c hay d,1
share đi,1
tắt mic lẹ,1
che cam,1
dịch dùm,1
làm dùm,1
dòm qua,1
m chọn gì,1
quăng nháp,1
chép kịp không,1
nhanh m,1
nhìn sách,1
hỏi nó đi,1
gọi nó,1
gửi nốt,1
đáp án d,1
copy lẹ,1
dán vô,1
gõ qua,1
phao đâu,1
nhích ra,1
đọc tao,1
chatgpt đi,1
quét photomath,1
chụp đề,1
tra mạng,1
